File Number,Rarity Score,Position
7471,167.60,144
3792,167.24,145
8622,166.44,146
9312,166.26,147
5984,165.89,148
3277,165.50,149
9475,165.34,150
2437,165.20,151
3290,165.19,152
1128,165.18,153
7405,165.07,154
323,165.06,155
9581,164.85,156
7312,164.04,157
9388,163.49,158
359,163.49,159
6150,163.34,160
2572,162.62,161
6022,162.56,162
7627,162.14,163
2393,161.38,164
4196,161.33,165
533,160.86,166
8252,157.54,167
8343,155.74,168
3632,125.34,169
1597,123.13,170
2610,122.81,171
2449,121.89,172
3806,121.65,173
144,120.42,174
8187,120.07,175
8318,119.27,176
1446,118.48,177
6530,118.06,178
6003,117.59,179
6529,116.45,180
6616,115.86,181
1359,115.75,182
6778,115.20,183
891,113.35,184
1051,113.25,185
706,112.28,186
1922,111.99,187
4995,111.74,188
3715,111.40,189
1989,110.62,190
1780,110.56,191
9248,109.95,192
4678,109.82,193
9999,109.79,194
4762,109.68,195
2674,109.11,196
9486,109.05,197
8553,109.01,198
2250,108.91,199
9837,108.91,200
2558,108.64,201
4209,108.63,202
7708,108.41,203
6537,108.11,204
8702,107.97,205
7592,107.44,206
8526,107.28,207
3615,107.02,208
2276,106.91,209
8568,106.86,210
2150,105.21,211
8840,105.21,212
9727,105.19,213
9530,104.87,214
5006,104.37,215
7792,103.93,216
8403,103.83,217
5377,103.26,218
9597,103.12,219
5622,102.80,220
7747,102.77,221
4295,102.74,222
5311,102.30,223
7193,102.28,224
6678,102.25,225
1045,102.25,226
8846,102.20,227
9909,102.05,228
5991,101.88,229
2975,101.12,230
6045,101.04,231
9783,101.04,232
8161,100.65,233
3858,100.63,234
3162,100.53,235
696,100.53,236
1955,100.48,237
3172,100.37,238
1384,100.31,239
2895,100.25,240
2999,100.16,241
3100,99.94,242
1740,99.52,243
1019,99.52,244
9755,99.44,245
6241,99.24,246
6901,99.20,247
7041,99.09,248
1569,99.06,249
1788,99.02,250
5180,98.92,251
3682,98.80,252
7359,98.80,253
420,98.58,254
6018,98.36,255
2184,98.32,256
1733,98.06,257
604,98.00,258
2024,97.82,259
7945,97.80,260
82,97.78,261
127,97.74,262
7992,97.63,263
8997,97.45,264
799,97.33,265
4214,97.12,266
762,97.11,267
3127,96.99,268
2018,96.95,269
5372,96.87,270
5156,96.85,271
9373,96.82,272
271,96.79,273
6599,96.72,274
5628,96.70,275
996,96.50,276
9632,96.47,277
7076,96.43,278
6100,96.36,279
3072,96.36,280
4909,96.31,281
1428,96.28,282
8460,96.11,283
2244,96.07,284
4331,96.02,285
3456,95.91,286
9810,95.86,287
3321,95.78,288
9076,95.78,289
8355,95.76,290
3797,95.59,291
7973,95.59,292
1415,95.58,293
2621,95.43,294
7531,95.35,295
150,95.13,296
1936,94.93,297
2542,94.91,298
1541,94.91,299
5183,94.90,300
6500,94.83,301
7004,94.76,302
7028,94.72,303
6452,94.68,304
4604,94.65,305
4159,94.61,306
5068,94.58,307
7012,94.48,308
7095,94.41,309
2651,94.31,310
8684,94.27,311
6176,94.10,312
7570,94.05,313
9897,93.98,314
7000,93.94,315
5524,93.89,316
6063,93.72,317
7993,93.72,318
6383,93.70,319
3906,93.68,320
4821,93.64,321
3741,93.59,322
2605,93.42,323
894,93.14,324
5989,93.04,325
9704,92.98,326
3726,92.96,327
3043,92.62,328
19,92.60,329
2059,92.59,330
8138,92.46,331
5487,92.21,332
9915,92.03,333
4671,91.86,334
8276,91.70,335
4533,91.60,336
7658,91.60,337
7335,91.58,338
9065,91.57,339
3422,91.55,340
7443,91.51,341
6914,91.46,342
4178,91.21,343
6997,91.11,344
2326,90.88,345
8785,90.79,346
8302,90.72,347
8656,90.59,348
8183,90.57,349
5119,90.44,350
8351,90.24,351
9751,90.23,352
4884,90.12,353
2047,90.10,354
1373,89.89,355
9635,89.86,356
8742,89.85,357
2441,89.76,358
9733,89.72,359
392,89.65,360
9360,89.47,361
1705,89.38,362
1180,89.31,363
5104,89.21,364
7235,89.15,365
9306,89.09,366
411,89.02,367
6608,88.98,368
3171,88.88,369
339,88.77,370
873,88.76,371
1673,88.26,372
7509,88.26,373
9726,88.25,374
4741,88.25,375
1851,88.25,376
4514,88.20,377
6559,88.15,378
781,88.15,379
4031,88.14,380
7769,88.11,381
9296,88.08,382
8657,88.07,383
1392,88.04,384
5920,88.01,385
3015,88.00,386
6707,88.00,387
2761,87.95,388
8366,87.88,389
3898,87.87,390
300,87.71,391
2160,87.58,392
2092,87.54,393
1177,87.47,394
5378,87.23,395
1801,87.07,396
2442,87.06,397
6061,86.85,398
9176,86.82,399
2213,86.81,400
9584,86.71,401
4039,86.55,402
7352,86.38,403
4982,86.29,404
7914,86.27,405
1012,86.26,406
6068,86.25,407
8170,86.21,408
1183,86.16,409
382,86.02,410
2268,85.99,411
7280,85.97,412
7087,85.91,413
5470,85.88,414
4863,85.71,415
3664,85.71,416
6145,85.58,417
8000,85.55,418
9520,85.54,419
5726,85.49,420
5904,85.40,421
5464,85.38,422
2394,85.29,423
5800,85.27,424
7486,85.25,425
6200,85.18,426
6800,85.14,427
1460,85.05,428
6046,84.99,429
2688,84.98,430
7983,84.77,431
251,84.76,432
2784,84.73,433
9732,84.66,434
1856,84.55,435
5088,84.51,436
9186,84.47,437
9012,84.34,438
1762,84.27,439
8897,84.26,440
4238,84.16,441
2466,84.14,442
7202,84.13,443
9382,84.11,444
2314,83.94,445
5164,83.94,446
5812,83.80,447
728,83.77,448
9654,83.72,449
9558,83.66,450
7330,83.65,451
9590,83.63,452
9034,83.51,453
8523,83.51,454
7752,83.49,455
7040,83.46,456
5504,83.43,457
6764,83.43,458
202,83.43,459
6256,83.41,460
8738,83.38,461
7930,83.32,462
6197,83.26,463
5710,83.24,464
4035,83.21,465
5304,83.16,466
8111,83.14,467
4824,82.92,468
2197,82.88,469
9582,82.71,470
2083,82.67,471
8305,82.43,472
3064,82.43,473
3868,82.42,474
373,82.38,475
9534,82.36,476
1951,82.33,477
5826,82.33,478
3018,82.29,479
408,82.25,480
4359,82.20,481
2825,82.20,482
9790,82.13,483
8334,82.10,484
6428,82.05,485
2918,82.02,486
1499,81.92,487
4105,81.85,488
665,81.83,489
7692,81.81,490
4329,81.69,491
744,81.63,492
2030,81.63,493
5697,81.61,494
945,81.56,495
4406,81.54,496
5630,81.46,497
8322,81.45,498
4298,81.44,499
3549,81.43,500
7602,81.35,501
4393,81.30,502
1931,81.21,503
8765,81.21,504
1587,81.20,505
214,81.17,506
6246,81.14,507
761,81.05,508
5197,80.94,509
6987,80.93,510
6669,80.90,511
6214,80.88,512
1623,80.87,513
958,80.87,514
3844,80.81,515
9610,80.69,516
7516,80.68,517
9961,80.61,518
551,80.60,519
4894,80.58,520
2993,80.56,521
5725,80.52,522
6187,80.47,523
6421,80.45,524
4103,80.36,525
2012,80.29,526
6557,80.29,527
9270,80.26,528
7420,80.23,529
8316,80.16,530
8206,80.12,531
1717,80.10,532
5923,80.10,533
6114,80.09,534
1419,80.02,535
5521,80.01,536
6950,79.99,537
3180,79.99,538
2983,79.95,539
7472,79.81,540
5319,79.80,541
4940,79.77,542
6693,79.75,543
6733,79.70,544
8578,79.66,545
3149,79.45,546
1859,79.43,547
3944,79.39,548
4109,79.34,549
1245,79.26,550
4187,79.24,551
8156,79.22,552
9,79.21,553
1767,79.21,554
6756,79.12,555
7510,79.12,556
9137,79.09,557
5099,79.09,558
1949,79.08,559
5926,79.02,560
9143,79.01,561
6845,78.98,562
3554,78.98,563
1093,78.96,564
6850,78.92,565
7824,78.91,566
2654,78.89,567
1594,78.80,568
6976,78.73,569
8049,78.72,570
3701,78.61,571
4685,78.61,572
6140,78.46,573
243,78.45,574
8426,78.40,575
1630,78.28,576
6649,78.25,577
3227,78.18,578
2555,78.13,579
7719,78.12,580
3147,78.07,581
6502,78.07,582
6251,78.06,583
6832,77.98,584
600,77.93,585
3686,77.91,586
5778,77.87,587
6657,77.82,588
8129,77.82,589
7988,77.76,590
5747,77.70,591
5460,77.63,592
2741,77.59,593
1047,77.58,594
1466,77.51,595
7058,77.50,596
7042,77.49,597
3101,77.44,598
9385,77.43,599
9666,77.42,600
2414,77.39,601
7342,77.34,602
3443,77.31,603
8112,77.29,604
4847,77.24,605
1799,77.23,606
8582,77.19,607
1143,77.17,608
2606,77.16,609
1786,77.16,610
5067,77.11,611
8826,77.08,612
2819,77.02,613
7966,76.98,614
4696,76.92,615
2298,76.88,616
2539,76.83,617
5964,76.81,618
4550,76.81,619
7961,76.75,620
9812,76.74,621
9820,76.73,622
4364,76.60,623
1477,76.59,624
4881,76.57,625
7251,76.51,626
4830,76.45,627
1963,76.43,628
4131,76.43,629
2232,76.38,630
4947,76.37,631
1708,76.35,632
4518,76.33,633
1605,76.33,634
4135,76.31,635
9254,76.19,636
4499,76.14,637
5130,76.13,638
456,76.06,639
2756,75.98,640
4755,75.96,641
5970,75.94,642
2052,75.92,643
4486,75.92,644
8832,75.89,645
7187,75.86,646
1645,75.83,647
7683,75.82,648
3820,75.72,649
4169,75.71,650
3756,75.69,651
9142,75.69,652
3372,75.68,653
8064,75.62,654
2805,75.58,655
3159,75.57,656
7537,75.54,657
6461,75.49,658
349,75.49,659
8662,75.48,660
960,75.47,661
6972,75.47,662
5817,75.45,663
7309,75.40,664
3939,75.37,665
7423,75.36,666
193,75.33,667
8613,75.29,668
3855,75.28,669
8301,75.28,670
9344,75.27,671
4599,75.25,672
2100,75.25,673
1654,75.20,674
504,75.17,675
3142,75.16,676
3832,75.16,677
2243,75.14,678
9440,75.10,679
2016,75.10,680
880,75.10,681
3413,75.09,682
4487,75.08,683
1524,75.07,684
7320,75.04,685
3187,75.03,686
8522,75.03,687
3327,74.99,688
6890,74.95,689
4512,74.94,690
1563,74.93,691
8958,74.92,692
8854,74.91,693
3346,74.88,694
7043,74.85,695
1912,74.84,696
8532,74.75,697
9170,74.66,698
643,74.65,699
9202,74.64,700
8395,74.59,701
405,74.58,702
7392,74.57,703
9272,74.57,704
1451,74.54,705
2446,74.52,706
1016,74.46,707
1414,74.43,708
3865,74.42,709
6751,74.39,710
9240,74.39,711
2843,74.37,712
3335,74.30,713
1395,74.28,714
2179,74.25,715
8577,74.25,716
6510,74.25,717
9173,74.24,718
1896,74.20,719
7975,74.20,720
8782,74.16,721
3892,74.16,722
4551,74.14,723
4670,74.07,724
841,74.04,725
931,74.00,726
9204,73.97,727
2860,73.95,728
8200,73.95,729
9452,73.94,730
3604,73.92,731
7070,73.85,732
5716,73.83,733
3721,73.81,734
9648,73.81,735
6699,73.79,736
8176,73.75,737
2164,73.71,738
8218,73.65,739
4046,73.64,740
167,73.62,741
3835,73.59,742
2456,73.59,743
3050,73.58,744
2411,73.52,745
8237,73.51,746
1114,73.48,747
357,73.47,748
9447,73.45,749
8762,73.43,750
7997,73.43,751
517,73.42,752
625,73.37,753
8384,73.36,754
5264,73.35,755
5192,73.31,756
5001,73.26,757
9370,73.25,758
2935,73.23,759
6955,73.22,760
31,73.19,761
413,73.18,762
9209,73.17,763
4938,73.14,764
3621,73.13,765
4857,73.13,766
5289,73.12,767
8803,73.11,768
5158,73.10,769
4989,73.10,770
5103,73.06,771
8383,73.03,772
9757,73.01,773
1933,73.00,774
8812,72.98,775
4211,72.96,776
7119,72.96,777
5479,72.93,778
3275,72.91,779
1104,72.85,780
4369,72.84,781
1823,72.84,782
3036,72.80,783
7103,72.77,784
2977,72.76,785
7913,72.72,786
2498,72.69,787
6090,72.69,788
4640,72.67,789
622,72.67,790
7727,72.64,791
3224,72.63,792
7934,72.61,793
7294,72.60,794
4047,72.56,795
1358,72.55,796
9661,72.54,797
2750,72.54,798
2,72.51,799
4832,72.50,800
1620,72.47,801
3150,72.44,802
4991,72.43,803
3650,72.43,804
831,72.42,805
9249,72.41,806
3905,72.40,807
1572,72.38,808
351,72.37,809
5815,72.37,810
5075,72.36,811
3249,72.33,812
4282,72.29,813
7887,72.27,814
9562,72.24,815
1794,72.24,816
5448,72.19,817
7856,72.19,818
5291,72.16,819
2962,72.16,820
2085,72.15,821
758,72.12,822
1588,72.12,823
1613,72.11,824
3245,72.10,825
1826,72.10,826
8363,72.09,827
376,72.08,828
4820,72.06,829
4634,72.05,830
1302,72.03,831
2583,72.03,832
1328,72.02,833
4829,71.95,834
4407,71.95,835
304,71.94,836
5436,71.94,837
5451,71.91,838
1106,71.90,839
8892,71.89,840
2712,71.88,841
9862,71.84,842
9261,71.84,843
4253,71.83,844
4907,71.80,845
6111,71.79,846
2005,71.76,847
1325,71.75,848
6182,71.75,849
3917,71.74,850
9482,71.74,851
769,71.73,852
7373,71.72,853
7477,71.71,854
6425,71.71,855
2592,71.71,856
1861,71.68,857
9528,71.65,858
5675,71.65,859
1050,71.62,860
6861,71.61,861
6967,71.60,862
1752,71.60,863
3953,71.59,864
5128,71.59,865
6389,71.59,866
4939,71.57,867
2754,71.56,868
5328,71.56,869
950,71.55,870
9881,71.54,871
7224,71.53,872
125,71.51,873
7879,71.50,874
2321,71.49,875
3493,71.48,876
683,71.48,877
8942,71.46,878
3698,71.44,879
677,71.43,880
7460,71.43,881
7031,71.43,882
4619,71.42,883
948,71.40,884
8971,71.39,885
5204,71.38,886
8127,71.37,887
7275,71.37,888
6802,71.36,889
1873,71.33,890
4673,71.32,891
9651,71.30,892
6525,71.30,893
795,71.29,894
6174,71.28,895
5545,71.28,896
9857,71.27,897
390,71.26,898
8155,71.22,899
1231,71.19,900
952,71.19,901
5569,71.18,902
6621,71.17,903
2040,71.12,904
2388,71.12,905
3926,71.05,906
4906,71.02,907
7354,70.95,908
2066,70.94,909
7667,70.92,910
2976,70.90,911
7589,70.89,912
2043,70.88,913
2721,70.87,914
9994,70.87,915
5718,70.87,916
6058,70.84,917
9201,70.81,918
7770,70.80,919
1147,70.79,920
7441,70.76,921
7165,70.75,922
3843,70.73,923
1968,70.72,924
5792,70.70,925
4946,70.68,926
6025,70.59,927
7980,70.57,928
7841,70.56,929
3425,70.56,930
2098,70.52,931
5672,70.48,932
3920,70.47,933
4773,70.45,934
7412,70.44,935
1014,70.43,936
7854,70.41,937
9614,70.41,938
1531,70.39,939
4245,70.38,940
920,70.36,941
7499,70.31,942
4041,70.31,943
3974,70.31,944
1176,70.31,945
206,70.29,946
5857,70.29,947
2010,70.28,948
7754,70.26,949
7449,70.25,950
4798,70.24,951
2550,70.23,952
9354,70.20,953
4072,70.18,954
1538,70.16,955
412,70.14,956
4594,70.14,957
7011,70.14,958
1055,70.13,959
9097,70.13,960
7625,70.10,961
6567,70.09,962
6403,70.09,963
6650,70.06,964
9319,70.05,965
8525,70.02,966
4796,70.01,967
9930,70.01,968
8886,70.00,969
7461,69.99,970
2817,69.97,971
9681,69.97,972
4435,69.97,973
8483,69.96,974
7019,69.95,975
1591,69.94,976
7494,69.92,977
1098,69.92,978
6882,69.91,979
6691,69.91,980
725,69.90,981
3513,69.90,982
7077,69.89,983
2460,69.87,984
9963,69.84,985
4097,69.84,986
695,69.84,987
7314,69.81,988
1416,69.81,989
9750,69.79,990
180,69.74,991
427,69.73,992
9767,69.73,993
9179,69.73,994
1444,69.72,995
9409,69.72,996
9972,69.69,997
1562,69.67,998
124,69.67,999
8332,69.66,1000
7232,69.66,1001
7903,69.65,1002
8858,69.64,1003
4652,69.64,1004
4172,69.62,1005
9017,69.62,1006
1326,69.61,1007
2499,69.58,1008
6121,69.57,1009
8469,69.51,1010
7272,69.47,1011
6078,69.47,1012
9003,69.46,1013
7364,69.45,1014
4463,69.44,1015
4217,69.42,1016
1452,69.40,1017
8999,69.39,1018
5341,69.39,1019
501,69.35,1020
575,69.35,1021
7695,69.35,1022
1693,69.33,1023
5550,69.32,1024
93,69.32,1025
4048,69.32,1026
3754,69.29,1027
6127,69.29,1028
710,69.27,1029
7088,69.27,1030
3283,69.26,1031
2969,69.24,1032
3311,69.23,1033
9432,69.20,1034
3121,69.18,1035
7591,69.09,1036
6454,69.08,1037
5482,69.08,1038
1516,69.07,1039
1845,69.07,1040
5597,69.04,1041
9698,69.02,1042
6321,69.02,1043
2846,69.02,1044
8210,69.01,1045
9693,68.98,1046
2507,68.97,1047
83,68.97,1048
4667,68.96,1049
4254,68.95,1050
1417,68.93,1051
1652,68.93,1052
9464,68.90,1053
5876,68.88,1054
6877,68.85,1055
2046,68.84,1056
8950,68.83,1057
7195,68.83,1058
801,68.82,1059
2455,68.81,1060
7293,68.80,1061
2646,68.78,1062
6195,68.78,1063
6371,68.77,1064
6964,68.76,1065
136,68.76,1066
8114,68.75,1067
9641,68.74,1068
2148,68.73,1069
8813,68.71,1070
1723,68.68,1071
9782,68.67,1072
5285,68.66,1073
7864,68.64,1074
7927,68.63,1075
2370,68.61,1076
7551,68.59,1077
2942,68.56,1078
8514,68.56,1079
2188,68.56,1080
2595,68.54,1081
7463,68.51,1082
4390,68.50,1083
6470,68.48,1084
3665,68.44,1085
6260,68.43,1086
122,68.40,1087
1604,68.38,1088
9608,68.37,1089
5024,68.37,1090
1274,68.36,1091
3697,68.34,1092
7299,68.31,1093
7182,68.31,1094
3243,68.30,1095
1211,68.28,1096
2905,68.24,1097
1010,68.24,1098
1505,68.21,1099
2971,68.18,1100
4259,68.16,1101
6711,68.15,1102
563,68.14,1103
356,68.11,1104
8607,68.11,1105
5243,68.11,1106
2936,68.09,1107
8550,68.07,1108
7162,68.06,1109
7787,68.05,1110
3998,68.04,1111
7760,68.03,1112
862,67.99,1113
6527,67.98,1114
1528,67.98,1115
9407,67.97,1116
6825,67.97,1117
3140,67.96,1118
3454,67.94,1119
2336,67.91,1120
2097,67.91,1121
2439,67.90,1122
5965,67.89,1123
6735,67.88,1124
9778,67.88,1125
7825,67.87,1126
5618,67.86,1127
9865,67.83,1128
6631,67.82,1129
5003,67.82,1130
9711,67.82,1131
732,67.81,1132
6974,67.80,1133
5864,67.78,1134
1305,67.76,1135
4143,67.76,1136
7826,67.75,1137
1978,67.74,1138
8980,67.71,1139
686,67.69,1140
3059,67.69,1141
6048,67.63,1142
1430,67.62,1143
5312,67.62,1144
2130,67.61,1145
8974,67.60,1146
1133,67.59,1147
8192,67.58,1148
9821,67.57,1149
355,67.56,1150
2791,67.53,1151
5390,67.53,1152
7765,67.52,1153
8912,67.52,1154
9875,67.51,1155
9419,67.49,1156
6643,67.47,1157
8256,67.43,1158
2792,67.43,1159
4299,67.43,1160
8280,67.41,1161
8979,67.40,1162
2099,67.40,1163
2534,67.40,1164
1522,67.39,1165
2381,67.36,1166
3784,67.36,1167
2608,67.35,1168
1609,67.34,1169
424,67.32,1170
1111,67.28,1171
6099,67.28,1172
9285,67.26,1173
8248,67.22,1174
5608,67.22,1175
7015,67.20,1176
5909,67.20,1177
5783,67.18,1178
4658,67.18,1179
9931,67.17,1180
2787,67.14,1181
9600,67.13,1182
399,67.11,1183
8890,67.11,1184
3607,67.11,1185
4496,67.09,1186
9817,67.09,1187
9689,67.09,1188
3472,67.09,1189
6830,67.09,1190
7236,67.08,1191
9397,67.07,1192
8720,67.06,1193
3234,67.06,1194
5190,67.05,1195
8977,67.05,1196
7484,67.03,1197
6540,67.03,1198
2852,67.01,1199
5764,67.01,1200
7399,67.01,1201
9949,67.01,1202
8488,66.99,1203
8371,66.99,1204
4180,66.97,1205
5031,66.95,1206
2461,66.95,1207
671,66.95,1208
4447,66.94,1209
5777,66.93,1210
2344,66.87,1211
116,66.86,1212
676,66.86,1213
9928,66.85,1214
9138,66.84,1215
5707,66.80,1216
2573,66.79,1217
3191,66.77,1218
6464,66.75,1219
6208,66.74,1220
5820,66.73,1221
3463,66.72,1222
170,66.71,1223
2587,66.70,1224
2661,66.69,1225
9057,66.68,1226
2136,66.68,1227
5788,66.67,1228
3878,66.66,1229
5992,66.66,1230
5974,66.65,1231
7156,66.65,1232
1537,66.64,1233
2811,66.63,1234
448,66.60,1235
7027,66.59,1236
6511,66.58,1237
639,66.58,1238
4573,66.56,1239
648,66.54,1240
9359,66.53,1241
5369,66.53,1242
7440,66.49,1243
8516,66.49,1244
4767,66.46,1245
4923,66.46,1246
4079,66.41,1247
5358,66.40,1248
8393,66.39,1249
4265,66.39,1250
7865,66.36,1251
2759,66.35,1252
1601,66.35,1253
4408,66.34,1254
5532,66.32,1255
5376,66.31,1256
8309,66.31,1257
4956,66.30,1258
9957,66.30,1259
6240,66.28,1260
8628,66.27,1261
3125,66.26,1262
2293,66.26,1263
1648,66.25,1264
40,66.24,1265
709,66.22,1266
1790,66.21,1267
1831,66.16,1268
5522,66.15,1269
793,66.14,1270
5351,66.13,1271
771,66.13,1272
5400,66.12,1273
3593,66.11,1274
3186,66.10,1275
1507,66.10,1276
1077,66.08,1277
5389,66.06,1278
9874,66.05,1279
7144,66.04,1280
3371,66.04,1281
4993,66.03,1282
8086,66.03,1283
2818,66.01,1284
3942,66.01,1285
152,65.99,1286
5424,65.98,1287
2708,65.98,1288
8193,65.98,1289
8387,65.96,1290
4661,65.96,1291
6652,65.95,1292
6448,65.94,1293
1248,65.94,1294
1394,65.94,1295
5516,65.93,1296
436,65.90,1297
7948,65.88,1298
9236,65.86,1299
8097,65.86,1300
2992,65.85,1301
5694,65.85,1302
7603,65.84,1303
3104,65.84,1304
3166,65.81,1305
6342,65.80,1306
6261,65.79,1307
5081,65.79,1308
8140,65.78,1309
6645,65.78,1310
842,65.76,1311
49,65.75,1312
6570,65.75,1313
4688,65.75,1314
3516,65.74,1315
7614,65.73,1316
5638,65.72,1317
513,65.71,1318
5225,65.71,1319
1168,65.68,1320
9269,65.67,1321
655,65.61,1322
6254,65.60,1323
7561,65.58,1324
720,65.58,1325
5364,65.57,1326
3241,65.56,1327
1038,65.56,1328
3215,65.55,1329
8741,65.54,1330
9705,65.52,1331
5496,65.51,1332
5339,65.51,1333
5388,65.51,1334
5846,65.51,1335
3148,65.51,1336
3323,65.51,1337
8688,65.50,1338
7575,65.50,1339
2291,65.49,1340
5147,65.49,1341
6538,65.48,1342
4814,65.47,1343
8816,65.42,1344
6837,65.42,1345
9687,65.41,1346
3359,65.39,1347
249,65.39,1348
6191,65.37,1349
6198,65.37,1350
6481,65.36,1351
6309,65.35,1352
5480,65.34,1353
5189,65.34,1354
6060,65.33,1355
7714,65.33,1356
8861,65.32,1357
7885,65.32,1358
9096,65.29,1359
1113,65.29,1360
7680,65.29,1361
9443,65.29,1362
6687,65.26,1363
1290,65.26,1364
2061,65.26,1365
5829,65.26,1366
5642,65.25,1367
7830,65.24,1368
2570,65.24,1369
7225,65.23,1370
4490,65.23,1371
4586,65.20,1372
2771,65.19,1373
6051,65.17,1374
972,65.16,1375
8400,65.14,1376
8745,65.11,1377
8718,65.08,1378
3492,65.06,1379
7872,65.06,1380
2551,65.05,1381
4319,65.04,1382
935,65.04,1383
6516,65.04,1384
8976,65.02,1385
8507,65.01,1386
3724,65.00,1387
3200,64.98,1388
1289,64.97,1389
3337,64.97,1390
3558,64.94,1391
400,64.88,1392
106,64.88,1393
5743,64.87,1394
4929,64.86,1395
1383,64.85,1396
213,64.85,1397
9950,64.85,1398
3047,64.84,1399
4902,64.83,1400
8263,64.83,1401
254,64.82,1402
5140,64.82,1403
3437,64.81,1404
1656,64.79,1405
5004,64.77,1406
217,64.76,1407
3320,64.74,1408
4241,64.73,1409
370,64.70,1410
6097,64.69,1411
2430,64.69,1412
224,64.69,1413
1787,64.68,1414
4521,64.68,1415
9171,64.68,1416
5314,64.67,1417
100,64.66,1418
502,64.65,1419
2475,64.65,1420
6460,64.63,1421
6224,64.62,1422
9103,64.60,1423
2280,64.57,1424
1464,64.56,1425
2142,64.55,1426
8461,64.54,1427
9149,64.53,1428
2910,64.53,1429
9554,64.51,1430
5199,64.49,1431
3757,64.49,1432
4951,64.49,1433
6933,64.47,1434
379,64.47,1435
8031,64.45,1436
2689,64.45,1437
8506,64.43,1438
8784,64.43,1439
9290,64.42,1440
5844,64.42,1441
8600,64.41,1442
2448,64.41,1443
1233,64.39,1444
9283,64.39,1445
7703,64.36,1446
4361,64.35,1447
6703,64.34,1448
7806,64.34,1449
7116,64.33,1450
1525,64.33,1451
1299,64.32,1452
3074,64.32,1453
5171,64.31,1454
3340,64.30,1455
1348,64.30,1456
634,64.30,1457
9763,64.29,1458
8048,64.29,1459
929,64.27,1460
9784,64.25,1461
5238,64.25,1462
6381,64.24,1463
1920,64.24,1464
7475,64.24,1465
556,64.24,1466
3271,64.23,1467
6414,64.22,1468
2765,64.21,1469
6475,64.21,1470
6598,64.19,1471
4322,64.18,1472
4920,64.17,1473
1917,64.16,1474
7799,64.15,1475
1363,64.15,1476
5563,64.15,1477
5708,64.15,1478
9211,64.13,1479
8373,64.13,1480
493,64.12,1481
2763,64.12,1482
2324,64.11,1483
4384,64.10,1484
5107,64.08,1485
7021,64.08,1486
2484,64.08,1487
869,64.07,1488
2026,64.07,1489
6065,64.06,1490
4442,64.05,1491
6665,64.02,1492
7062,64.01,1493
6512,64.01,1494
5546,63.99,1495
4568,63.99,1496
7457,63.99,1497
8724,63.98,1498
4738,63.98,1499
7726,63.98,1500
4626,63.97,1501
2048,63.94,1502
7145,63.93,1503
6609,63.93,1504
3859,63.92,1505
9896,63.92,1506
415,63.90,1507
1960,63.90,1508
1311,63.89,1509
